timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
878,Ruido,870,0.238281,0.761719,2407168,3.07,45.1,46.0
2798,Ruido,870,0.027344,0.972656,2407168,0.0,45.0,48.0
4704,Ruido,880,0.023438,0.976562,2407168,1.04,45.4,59.0
6623,Llanto,880,0.59375,0.40625,2407168,1.07,45.0,0.0
8544,Llanto,880,0.976562,0.023438,2407168,1.04,44.8,46.0
10448,Llanto,870,0.976562,0.023438,2407168,1.08,45.1,15.0
12368,Llanto,870,0.871094,0.128906,2407168,0.96,44.8,48.0
14291,Llanto,870,0.910156,0.089844,2407168,1.02,45.3,48.0
16192,Ruido,880,0.042969,0.957031,2407168,1.02,62.5,70.0
18113,Ruido,880,0.472656,0.527344,2407168,1.06,63.0,13.0
20034,Ruido,880,0.292969,0.707031,2407168,1.04,117.8,387.0
21939,Ruido,870,0.035156,0.964844,2407168,1.06,59.1,2.0
23859,Llanto,870,0.84375,0.15625,2407168,1.04,67.0,174.0
25778,Llanto,870,0.554688,0.445312,2407168,1.06,61.0,20.0
27684,Llanto,880,0.742188,0.257812,2407168,1.03,67.6,193.0
29604,Llanto,880,0.894531,0.105469,2407168,0.0,58.1,59.0
31524,Ruido,880,0.121094,0.878906,2407168,1.03,66.8,72.0
33431,Ruido,870,0.039062,0.960938,2407168,0.94,71.3,66.0
35349,Ruido,870,0.195312,0.804688,2407168,1.15,107.4,103.0
37268,Llanto,870,0.949219,0.050781,2407168,1.15,107.4,103.0
39176,Ruido,880,0.035156,0.964844,2407168,1.04,63.1,61.0
41093,Ruido,880,0.03125,0.96875,2407168,1.1,44.9,44.0
43014,Ruido,880,0.03125,0.96875,2407168,0.96,45.5,43.0
44918,Ruido,870,0.078125,0.921875,2407168,1.21,45.0,43.0
46839,Llanto,870,0.976562,0.023438,2407168,0.47,45.1,44.0
48759,Llanto,870,0.976562,0.023438,2407168,1.17,44.9,44.0
50663,Llanto,880,0.976562,0.023438,2407168,0.36,45.0,44.0
52583,Ruido,880,0.03125,0.96875,2407168,1.06,44.9,43.0
54507,Ruido,880,0.472656,0.527344,2407168,0.97,53.8,49.0
56408,Ruido,870,0.355469,0.644531,2407168,1.62,67.2,64.0
58329,Llanto,870,0.964844,0.035156,2407168,0.8,112.9,105.0
60248,Ruido,870,0.425781,0.574219,2407168,2.54,82.2,77.0
62153,Llanto,880,0.976562,0.023438,2407168,0.13,59.0,57.0
64073,Llanto,880,0.976562,0.023438,2407168,1.05,59.3,103.0
65994,Llanto,880,0.628906,0.371094,2407168,0.47,60.2,11.0
67899,Llanto,870,0.976562,0.023438,2407168,1.04,115.7,157.0
69819,Llanto,870,0.824219,0.175781,2407168,0.0,58.4,57.0
71740,Llanto,870,0.925781,0.074219,2407168,3.13,60.3,61.0
73644,Llanto,880,0.976562,0.023438,2407168,0.08,62.4,64.0
75564,Llanto,880,0.976562,0.023438,2407168,1.04,58.2,62.0
77519,Ruido,880,0.023438,0.976562,2407168,0.2,58.3,54.0
79388,Ruido,870,0.058594,0.941406,2407168,0.2,58.3,54.0
81310,Ruido,870,0.054688,0.945312,2407168,1.03,90.9,100.0
83229,Ruido,870,0.148438,0.851562,2407168,0.92,94.2,82.0
85135,Ruido,880,0.121094,0.878906,2407168,1.05,93.5,269.0
