timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
725,Llanto,320,0.984375,0.015625,515628,0.98,93.3,98.0
2144,Ruido,320,0.394531,0.605469,515628,0.94,45.6,43.0
3560,Llanto,320,0.960938,0.039062,515628,0.99,79.7,80.0
4979,Llanto,320,0.605469,0.394531,515628,0.99,79.7,80.0
6394,Llanto,320,0.996094,0.0,515628,0.92,45.2,43.0
7832,Ruido,320,0.046875,0.953125,515628,1.0,45.5,44.0
9242,Llanto,320,0.996094,0.0,515628,1.0,45.5,44.0
10650,Ruido,320,0.011719,0.988281,515628,0.98,95.6,87.0
12078,Ruido,320,0.007812,0.992188,515628,1.03,98.1,92.0
13501,Llanto,320,0.945312,0.054688,515628,1.03,61.8,57.0
14910,Ruido,320,0.464844,0.535156,515628,1.03,61.8,57.0
16343,Ruido,320,0.039062,0.960938,515628,1.21,45.6,44.0
17777,Llanto,320,0.980469,0.019531,515628,0.94,72.2,66.0
19174,Llanto,320,0.988281,0.011719,515628,0.94,72.2,66.0
20595,Ruido,320,0.015625,0.984375,515628,0.98,45.3,54.0
22020,Ruido,320,0.132812,0.867188,515628,1.02,45.1,43.0
23457,Ruido,320,0.0625,0.9375,515628,1.02,45.1,43.0
24867,Ruido,320,0.003906,0.996094,515628,2.61,93.8,92.0
26281,Ruido,320,0.007812,0.992188,515628,0.0,45.2,44.0
27709,Llanto,320,0.570312,0.429688,515628,1.02,127.9,246.0
29117,Ruido,320,0.152344,0.847656,515628,1.02,127.9,246.0
30541,Llanto,320,0.996094,0.0,515628,1.06,44.9,0.0
31953,Ruido,320,0.152344,0.847656,515628,0.99,44.9,46.0
33391,Ruido,320,0.238281,0.761719,515628,0.99,44.9,46.0
34807,Llanto,320,0.535156,0.464844,515628,1.01,45.2,48.0
36213,Ruido,320,0.003906,0.996094,515628,0.98,44.7,80.0
37644,Ruido,320,0.152344,0.847656,515628,1.06,85.8,75.0
39060,Ruido,320,0.046875,0.953125,515628,1.06,85.8,75.0
40470,Ruido,320,0.238281,0.761719,515628,0.99,45.1,46.0
41900,Llanto,320,0.996094,0.0,515628,1.02,65.5,69.0
43321,Ruido,320,0.296875,0.703125,515628,1.02,65.5,69.0
44736,Ruido,320,0.429688,0.570312,515628,0.93,95.2,95.0
46155,Llanto,320,0.898438,0.101562,515628,1.0,45.1,48.0
47580,Llanto,320,0.996094,0.0,515628,1.0,45.1,48.0
48991,Llanto,320,0.992188,0.007812,515628,0.92,106.1,103.0
50427,Llanto,320,0.882812,0.117188,515628,0.98,95.9,97.0
51842,Ruido,320,0.296875,0.703125,515628,0.9,63.3,59.0
53250,Llanto,320,0.992188,0.007812,515628,0.9,63.3,59.0
54676,Llanto,320,0.960938,0.039062,515628,1.0,44.8,48.0
56100,Llanto,320,0.996094,0.0,515628,0.97,44.9,46.0
57510,Ruido,320,0.078125,0.921875,515628,0.97,44.9,46.0
58937,Llanto,320,0.570312,0.429688,515628,1.0,96.1,102.0
60360,Llanto,320,0.921875,0.078125,515628,0.92,44.7,44.0
61776,Llanto,320,0.996094,0.0,515628,0.98,93.6,88.0
63198,Llanto,320,0.882812,0.117188,515628,0.98,93.6,88.0
64642,Llanto,320,0.996094,0.0,515628,0.92,44.9,44.0
66030,Llanto,320,0.996094,0.0,515628,0.99,69.3,72.0
67455,Ruido,320,0.0625,0.9375,515628,0.99,69.3,72.0
68881,Llanto,320,0.953125,0.046875,515628,0.9,45.7,43.0
70295,Llanto,320,0.605469,0.394531,515628,0.98,45.1,44.0
71716,Ruido,320,0.101562,0.898438,515628,0.98,45.1,44.0
73144,Ruido,320,0.0,0.996094,515628,0.9,95.4,90.0
74553,Llanto,320,0.984375,0.015625,515628,0.98,45.0,44.0
75980,Llanto,320,0.996094,0.0,515628,0.96,72.7,56.0
77404,Llanto,320,0.785156,0.214844,515628,0.96,72.7,56.0
78810,Ruido,320,0.464844,0.535156,515628,1.09,45.3,44.0
80235,Ruido,320,0.011719,0.988281,515628,0.36,45.4,46.0
81675,Ruido,320,0.117188,0.882812,515628,0.36,45.4,46.0
83070,Ruido,320,0.054688,0.945312,515628,2.44,44.9,52.0
84499,Ruido,320,0.007812,0.992188,515628,0.98,53.0,41.0
85919,Ruido,320,0.007812,0.992188,515628,1.01,70.3,70.0
87334,Ruido,320,0.019531,0.980469,515628,1.01,70.3,70.0
88756,Ruido,320,0.011719,0.988281,515628,1.06,94.9,0.0
90184,Ruido,320,0.007812,0.992188,515628,1.0,45.0,67.0
91595,Ruido,320,0.152344,0.847656,515628,1.0,45.0,67.0
93015,Ruido,320,0.003906,0.996094,515628,1.06,45.3,0.0
94444,Llanto,320,0.988281,0.011719,515628,0.94,45.2,46.0
95851,Llanto,320,0.734375,0.265625,515628,0.94,45.2,46.0
97275,Llanto,320,0.898438,0.101562,515628,0.98,61.6,64.0
98702,Ruido,320,0.003906,0.996094,515628,0.93,45.1,41.0
100111,Llanto,320,0.996094,0.0,515628,1.05,73.2,72.0
101536,Llanto,320,0.996094,0.003906,515628,1.05,73.2,72.0
102961,Llanto,320,0.976562,0.023438,515628,1.05,45.3,43.0
104373,Llanto,320,0.910156,0.089844,515628,1.57,45.3,44.0
105795,Llanto,320,0.996094,0.0,515628,1.57,45.3,44.0
107227,Llanto,320,0.992188,0.007812,515628,0.0,106.3,39.0
108634,Ruido,320,0.0,0.996094,515628,1.0,46.3,54.0
110065,Llanto,320,0.828125,0.171875,515628,1.05,73.6,21.0
111481,Llanto,320,0.996094,0.003906,515628,1.05,73.6,21.0
112894,Llanto,320,0.996094,0.0,515628,0.93,46.7,46.0
114317,Llanto,320,0.535156,0.464844,515628,0.98,45.0,44.0
115743,Ruido,320,0.015625,0.984375,515628,0.98,45.0,44.0
117153,Ruido,320,0.0,0.996094,515628,0.9,45.4,41.0
118575,Llanto,320,0.910156,0.089844,515628,1.01,45.2,52.0
120031,Llanto,320,0.910156,0.089844,515628,1.05,118.3,0.0
121410,Llanto,320,0.703125,0.296875,515628,1.05,118.3,0.0
122835,Llanto,320,0.671875,0.328125,515628,0.93,46.7,44.0
124261,Llanto,320,0.535156,0.464844,515628,0.96,72.5,72.0
125671,Ruido,320,0.238281,0.761719,515628,0.96,72.5,72.0
127099,Llanto,320,0.992188,0.007812,515628,1.0,94.3,85.0
128520,Llanto,320,0.9375,0.0625,515628,1.02,45.1,48.0
129930,Llanto,320,0.996094,0.0,515628,1.02,45.1,48.0
131359,Llanto,320,0.996094,0.0,515628,1.06,44.9,44.0
132781,Ruido,320,0.265625,0.734375,515628,0.92,44.7,44.0
134191,Ruido,320,0.03125,0.96875,515628,0.94,79.5,79.0
135619,Ruido,320,0.359375,0.640625,515628,0.94,79.5,79.0
137045,Llanto,320,0.867188,0.132812,515628,0.0,95.0,100.0
138451,Llanto,320,0.867188,0.132812,515628,1.02,45.1,92.0
139876,Llanto,320,0.703125,0.296875,515628,1.02,45.1,92.0
141309,Llanto,320,0.996094,0.0,515628,1.0,45.1,48.0
142711,Llanto,320,0.996094,0.003906,515628,0.91,55.4,52.0
144146,Llanto,320,0.898438,0.101562,515628,0.98,61.5,61.0
145575,Llanto,320,0.988281,0.011719,515628,0.98,61.5,61.0
146970,Ruido,320,0.328125,0.671875,515628,0.96,45.7,41.0
148398,Llanto,320,0.972656,0.027344,515628,2.11,72.6,69.0
149820,Llanto,320,0.785156,0.214844,515628,2.11,72.6,69.0
151230,Ruido,320,0.011719,0.988281,515628,0.62,44.9,38.0
152660,Ruido,320,0.003906,0.996094,515628,0.98,45.3,46.0
154080,Ruido,320,0.152344,0.847656,515628,0.98,45.3,46.0
155493,Ruido,320,0.011719,0.988281,515628,0.98,93.8,100.0
156918,Llanto,320,0.996094,0.0,515628,1.01,53.9,49.0
158344,Llanto,320,0.996094,0.0,515628,1.24,79.8,77.0
159756,Llanto,320,0.996094,0.0,515628,1.24,79.8,77.0
161180,Llanto,320,0.996094,0.003906,515628,0.98,45.7,36.0
162601,Llanto,320,0.996094,0.0,515628,1.02,44.8,48.0
164011,Llanto,320,0.996094,0.0,515628,1.02,44.8,48.0
165436,Llanto,320,0.996094,0.0,515628,1.06,93.6,49.0
166864,Llanto,320,0.976562,0.023438,515628,0.98,45.2,46.0
168277,Ruido,320,0.152344,0.847656,515628,1.0,61.4,62.0
169702,Ruido,320,0.023438,0.976562,515628,1.0,61.4,62.0
171121,Ruido,320,0.394531,0.605469,515628,0.96,45.2,41.0
172530,Llanto,320,0.605469,0.394531,515628,2.72,72.6,72.0
173960,Ruido,320,0.019531,0.980469,515628,2.72,72.6,72.0
175381,Llanto,320,0.996094,0.0,515628,0.9,44.7,38.0
176798,Ruido,320,0.359375,0.640625,515628,1.01,44.8,46.0
178216,Ruido,320,0.03125,0.96875,515628,1.01,44.8,46.0
179642,Llanto,320,0.734375,0.265625,515628,0.99,103.4,110.0
181058,Llanto,320,0.996094,0.0,515628,0.9,45.2,46.0
182477,Llanto,320,0.992188,0.007812,515628,0.96,80.6,80.0
183901,Ruido,320,0.394531,0.605469,515628,0.96,80.6,80.0
185312,Llanto,320,0.953125,0.046875,515628,0.98,45.3,44.0
186737,Llanto,320,0.996094,0.0,515628,1.02,44.8,51.0
188163,Llanto,320,0.996094,0.0,515628,1.02,44.8,51.0
189576,Llanto,320,0.996094,0.0,515628,1.06,45.0,0.0
190999,Ruido,320,0.007812,0.992188,515628,0.93,45.2,46.0
192421,Ruido,320,0.015625,0.984375,515628,0.98,85.3,84.0
193832,Ruido,320,0.359375,0.640625,515628,0.98,85.3,84.0
195258,Llanto,320,0.703125,0.296875,515628,1.01,45.0,43.0
196682,Llanto,320,0.996094,0.0,515628,1.01,114.4,133.0
198092,Llanto,320,0.992188,0.007812,515628,1.01,114.4,133.0
199517,Llanto,320,0.996094,0.0,515628,1.06,45.3,5.0
200943,Llanto,320,0.988281,0.011719,515628,0.96,45.2,46.0
202351,Llanto,320,0.988281,0.011719,515628,0.96,45.2,46.0
203776,Llanto,320,0.921875,0.078125,515628,0.98,95.8,97.0
205201,Llanto,320,0.605469,0.394531,515628,1.03,45.2,41.0
206613,Llanto,320,0.898438,0.101562,515628,2.64,73.9,85.0
208037,Ruido,320,0.023438,0.976562,515628,2.64,73.9,85.0
209463,Llanto,320,0.988281,0.011719,515628,1.07,45.1,0.0
210880,Llanto,320,0.996094,0.0,515628,0.95,45.1,46.0
212296,Llanto,320,0.996094,0.0,515628,0.95,45.1,46.0
213726,Llanto,320,0.996094,0.0,515628,0.99,94.0,97.0
215132,Llanto,320,0.996094,0.0,515628,1.0,45.3,41.0
216559,Llanto,320,0.867188,0.132812,515628,1.12,85.5,85.0
217981,Llanto,320,0.980469,0.019531,515628,1.12,85.5,85.0
219396,Llanto,320,0.996094,0.0,515628,0.74,44.9,43.0
220824,Llanto,320,0.996094,0.0,515628,1.02,74.0,154.0
222250,Llanto,320,0.996094,0.0,515628,1.02,74.0,154.0
223652,Ruido,320,0.054688,0.945312,515628,1.07,45.2,25.0
225077,Llanto,320,0.980469,0.019531,515628,0.93,45.0,44.0
226500,Llanto,320,0.996094,0.0,515628,0.93,45.0,44.0
227910,Llanto,320,0.996094,0.0,515628,0.98,94.9,93.0
229336,Llanto,320,0.996094,0.0,515628,1.04,45.1,43.0
230761,Llanto,320,0.996094,0.0,515628,1.02,61.5,67.0
232171,Llanto,320,0.996094,0.0,515628,1.02,61.5,67.0
233596,Llanto,320,0.996094,0.0,515628,1.06,45.2,8.0
235022,Llanto,320,0.996094,0.0,515628,1.0,53.3,54.0
236430,Llanto,320,0.996094,0.0,515628,1.0,53.3,54.0
237859,Llanto,320,0.761719,0.238281,515628,1.0,45.1,48.0
239290,Llanto,320,0.996094,0.003906,515628,0.92,45.1,41.0
240693,Llanto,320,0.996094,0.0,515628,1.22,132.4,128.0
242115,Llanto,320,0.996094,0.0,515628,1.22,132.4,128.0
243541,Ruido,320,0.328125,0.671875,515628,0.55,44.5,39.0
244951,Ruido,320,0.101562,0.898438,515628,0.97,45.0,46.0
246379,Llanto,320,0.996094,0.0,515628,0.97,45.0,46.0
247803,Llanto,320,0.996094,0.0,515628,1.0,45.5,48.0
249213,Ruido,330,0.023438,0.976562,515628,0.95,54.9,49.0
250636,Ruido,320,0.054688,0.945312,515628,0.95,54.9,49.0
252066,Ruido,320,0.003906,0.996094,515628,1.08,60.1,64.0
253477,Ruido,320,0.007812,0.992188,515628,0.92,46.8,38.0
254909,Llanto,320,0.996094,0.0,515628,1.02,72.5,200.0
256323,Ruido,320,0.003906,0.996094,515628,1.02,72.5,200.0
257736,Llanto,320,0.996094,0.0,515628,1.03,45.2,48.0
259157,Llanto,320,0.945312,0.054688,515628,0.91,44.8,44.0
260581,Llanto,320,0.996094,0.0,515628,0.91,44.8,44.0
261993,Ruido,320,0.039062,0.960938,515628,1.09,93.6,92.0
263420,Llanto,320,0.980469,0.019531,515628,0.0,53.4,54.0
264842,Llanto,320,0.980469,0.019531,515628,1.01,62.0,74.0
266251,Llanto,320,0.996094,0.0,515628,1.01,62.0,74.0
267681,Llanto,320,0.988281,0.011719,515628,1.0,45.1,49.0
269101,Ruido,320,0.007812,0.992188,515628,0.92,45.2,43.0
270511,Ruido,320,0.101562,0.898438,515628,0.92,45.2,43.0
271935,Llanto,320,0.996094,0.0,515628,0.98,45.1,46.0
273363,Llanto,320,0.996094,0.0,515628,1.07,45.3,41.0
274817,Llanto,320,0.996094,0.0,515628,1.55,61.1,57.0
276197,Llanto,320,0.996094,0.0,515628,1.55,61.1,57.0
277621,Llanto,320,0.996094,0.0,515628,1.08,45.2,20.0
279031,Ruido,320,0.132812,0.867188,515628,1.0,121.3,125.0
280457,Llanto,320,0.882812,0.117188,515628,1.0,121.3,125.0
281884,Ruido,320,0.429688,0.570312,515628,1.02,44.8,48.0
283293,Llanto,320,0.996094,0.0,515628,0.93,45.5,43.0
284717,Llanto,320,0.570312,0.429688,515628,0.93,45.5,43.0
286143,Llanto,320,0.972656,0.027344,515628,0.94,45.4,46.0
287552,Ruido,320,0.0625,0.9375,515628,0.44,45.5,44.0
288981,Llanto,320,0.996094,0.0,515628,2.68,81.7,80.0
290400,Llanto,320,0.988281,0.011719,515628,2.68,81.7,80.0
291812,Llanto,320,0.996094,0.0,515628,0.31,52.7,46.0
293236,Ruido,320,0.191406,0.808594,515628,1.02,44.8,72.0
294661,Llanto,320,0.847656,0.152344,515628,1.02,44.8,72.0
296072,Llanto,320,0.996094,0.0,515628,1.06,45.2,41.0
297498,Llanto,320,0.785156,0.214844,515628,0.93,44.8,43.0
298942,Ruido,320,0.070312,0.929688,515628,0.98,61.5,61.0
300331,Llanto,320,0.761719,0.238281,515628,0.98,61.5,61.0
301759,Llanto,320,0.996094,0.0,515628,1.01,45.3,41.0
303182,Llanto,320,0.996094,0.0,515628,1.16,72.5,70.0
304592,Llanto,320,0.996094,0.0,515628,1.16,72.5,70.0
306016,Llanto,320,0.910156,0.089844,515628,0.22,45.0,38.0
307443,Ruido,320,0.0625,0.9375,515628,2.79,45.2,44.0
308852,Ruido,320,0.238281,0.761719,515628,2.79,45.2,44.0
310278,Ruido,320,0.101562,0.898438,515628,0.0,94.8,95.0
311702,Llanto,320,0.996094,0.0,515628,1.02,44.7,46.0
313112,Llanto,320,0.996094,0.003906,515628,1.04,80.8,85.0
314536,Llanto,320,0.996094,0.0,515628,1.04,80.8,85.0
315964,Llanto,320,0.996094,0.003906,515628,0.93,45.2,44.0
317375,Llanto,320,0.996094,0.0,515628,0.99,94.4,93.0
318796,Llanto,320,0.910156,0.089844,515628,0.99,94.4,93.0
320223,Llanto,320,0.996094,0.0,515628,0.97,45.1,41.0
321635,Llanto,320,0.996094,0.0,515628,1.21,44.8,43.0
323061,Llanto,320,0.992188,0.007812,515628,0.33,61.6,61.0
324480,Llanto,320,0.953125,0.046875,515628,0.33,61.6,61.0
325893,Llanto,320,0.988281,0.011719,515628,2.26,45.1,44.0
327324,Ruido,320,0.152344,0.847656,515628,0.0,72.5,75.0
328741,Llanto,320,0.996094,0.0,515628,0.0,72.5,75.0
330152,Ruido,320,0.046875,0.953125,515628,1.03,44.8,72.0
331577,Llanto,320,0.980469,0.019531,515628,1.07,45.2,15.0
333002,Llanto,320,0.996094,0.0,515628,1.07,45.2,15.0
334416,Llanto,320,0.996094,0.0,515628,0.94,98.8,100.0
335841,Llanto,320,0.996094,0.0,515628,0.99,45.3,48.0
337262,Llanto,320,0.996094,0.0,515628,0.93,81.0,77.0
338674,Llanto,320,0.921875,0.078125,515628,0.93,81.0,77.0
340100,Llanto,320,0.734375,0.265625,515628,0.99,44.9,46.0
341524,Llanto,320,0.996094,0.0,515628,0.91,45.2,41.0
342931,Llanto,320,0.828125,0.171875,515628,0.91,45.2,41.0
