timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
548,Llanto,70,0.75,0.25,43840,0.98,44.8,46.0
2455,Ruido,60,0.160156,0.839844,43840,1.06,44.9,48.0
4374,Ruido,60,0.429688,0.570312,43840,0.95,53.5,54.0
6295,Llanto,60,0.53125,0.46875,43840,1.0,62.3,66.0
8198,Llanto,70,0.933594,0.066406,43840,0.92,65.4,62.0
10147,Llanto,70,0.691406,0.308594,43840,0.98,108.8,115.0
12039,Llanto,70,0.925781,0.074219,43840,0.98,108.8,115.0
13946,Llanto,60,0.851562,0.148438,43840,0.92,45.0,43.0
15863,Ruido,60,0.140625,0.859375,43840,0.98,93.2,100.0
17785,Ruido,60,0.117188,0.882812,43840,0.91,93.1,88.0
19688,Ruido,70,0.5,0.5,43840,1.0,45.1,44.0
21612,Ruido,70,0.441406,0.558594,43840,0.91,45.1,41.0
23528,Ruido,70,0.320312,0.679688,43840,0.96,44.9,44.0
25432,Ruido,60,0.308594,0.691406,43840,1.04,45.1,41.0
27353,Ruido,60,0.371094,0.628906,43840,1.03,44.5,44.0
29275,Llanto,60,0.730469,0.269531,43840,0.98,45.1,41.0
31179,Ruido,70,0.25,0.75,43840,1.22,53.5,51.0
33098,Ruido,70,0.121094,0.878906,43840,0.95,93.5,84.0
35020,Ruido,70,0.460938,0.539062,43840,0.98,44.6,46.0
36924,Ruido,60,0.261719,0.738281,43840,0.91,44.7,41.0
38845,Ruido,60,0.089844,0.910156,43840,0.99,45.0,44.0
40764,Ruido,60,0.089844,0.910156,43840,0.9,45.2,41.0
42669,Ruido,70,0.382812,0.617188,43840,0.98,45.1,44.0
44588,Ruido,70,0.28125,0.71875,43840,0.92,44.8,41.0
46515,Llanto,70,0.957031,0.042969,43840,0.98,61.9,66.0
48417,Llanto,60,0.957031,0.042969,43840,1.0,62.4,57.0
50356,Llanto,60,0.957031,0.042969,43840,1.0,76.1,74.0
52253,Llanto,60,0.589844,0.410156,43840,1.0,76.1,74.0
54162,Ruido,70,0.398438,0.601562,43840,1.02,92.6,84.0
56079,Ruido,70,0.472656,0.527344,43840,1.19,44.6,44.0
58002,Ruido,70,0.453125,0.546875,43840,0.92,45.0,41.0
59905,Llanto,60,0.703125,0.296875,43840,2.62,44.7,43.0
61825,Llanto,60,0.644531,0.355469,43840,0.55,45.1,46.0
63747,Llanto,60,0.558594,0.441406,43840,2.11,45.0,46.0
65649,Ruido,70,0.378906,0.621094,43840,0.0,45.1,46.0
67568,Llanto,70,0.957031,0.042969,43840,1.1,44.9,61.0
69489,Llanto,70,0.957031,0.042969,43840,0.06,45.0,43.0
71393,Llanto,60,0.945312,0.054688,43840,2.84,93.6,92.0
73314,Llanto,60,0.957031,0.042969,43840,0.28,45.3,43.0
75234,Llanto,60,0.957031,0.042969,43840,2.82,44.6,44.0
77138,Ruido,70,0.175781,0.824219,43840,0.0,93.5,97.0
79061,Ruido,70,0.265625,0.734375,43840,1.02,45.2,61.0
80979,Ruido,70,0.359375,0.640625,43840,0.0,45.0,18.0
82884,Ruido,60,0.285156,0.714844,43840,1.01,45.7,57.0
84804,Ruido,60,0.328125,0.671875,43840,1.06,44.7,2.0
86730,Llanto,60,0.515625,0.484375,43840,1.0,62.4,67.0
88633,Ruido,70,0.183594,0.816406,43840,0.0,63.1,62.0
90564,Llanto,70,0.589844,0.410156,43840,1.01,70.4,100.0
92469,Llanto,70,0.957031,0.042969,43840,1.01,70.4,100.0
94375,Llanto,60,0.558594,0.441406,43840,1.06,91.4,13.0
96294,Ruido,60,0.25,0.75,43840,1.01,45.0,46.0
98214,Ruido,60,0.398438,0.601562,43840,1.06,44.8,7.0
100119,Llanto,70,0.878906,0.121094,43840,1.01,44.9,44.0
102038,Llanto,70,0.617188,0.382812,43840,1.06,44.8,44.0
103963,Llanto,70,0.957031,0.042969,43840,0.97,45.0,44.0
105864,Llanto,60,0.957031,0.042969,43840,1.05,53.3,15.0
107783,Llanto,60,0.921875,0.078125,43840,1.01,44.6,44.0
109704,Llanto,60,0.941406,0.058594,43840,1.05,93.0,97.0
111612,Llanto,70,0.957031,0.042969,43840,0.95,45.1,46.0
113530,Ruido,70,0.277344,0.722656,43840,0.99,45.0,48.0
115449,Ruido,70,0.332031,0.667969,43840,0.92,44.7,43.0
117353,Ruido,60,0.257812,0.742188,43840,0.97,44.9,44.0
119280,Llanto,60,0.515625,0.484375,43840,0.95,45.1,41.0
121199,Llanto,60,0.535156,0.464844,43840,1.12,45.0,44.0
123099,Ruido,70,0.148438,0.851562,43840,0.96,101.4,90.0
125019,Ruido,70,0.421875,0.578125,43840,1.02,44.5,44.0
126939,Ruido,70,0.390625,0.609375,43840,0.72,62.1,59.0
128846,Ruido,60,0.382812,0.617188,43840,1.35,62.1,66.0
130763,Llanto,60,0.726562,0.273438,43840,0.0,72.5,74.0
132684,Llanto,60,0.65625,0.34375,43840,0.0,72.5,74.0
134589,Llanto,70,0.933594,0.066406,43840,1.02,93.1,115.0
136514,Llanto,70,0.957031,0.042969,43840,0.51,44.5,5.0
138429,Llanto,70,0.957031,0.042969,43840,1.01,45.2,121.0
140336,Llanto,60,0.695312,0.304688,43840,1.06,44.6,0.0
142254,Llanto,60,0.828125,0.171875,43840,1.01,44.5,48.0
144178,Ruido,60,0.480469,0.519531,43840,0.54,44.4,39.0
146081,Llanto,70,0.671875,0.328125,43840,1.02,45.0,121.0
147999,Ruido,70,0.429688,0.570312,43840,1.04,92.9,0.0
149919,Llanto,70,0.609375,0.390625,43840,1.02,44.6,108.0
151827,Llanto,60,0.640625,0.359375,43840,1.08,45.3,16.0
153745,Ruido,60,0.121094,0.878906,43840,1.0,44.7,46.0
155665,Ruido,60,0.207031,0.792969,43840,1.04,44.7,48.0
157569,Llanto,70,0.910156,0.089844,43840,0.93,53.5,54.0
159495,Llanto,70,0.957031,0.042969,43840,1.05,45.0,0.0
161408,Llanto,70,0.957031,0.042969,43840,0.99,44.9,44.0
163315,Llanto,60,0.8125,0.1875,43840,1.06,91.5,97.0
165236,Ruido,60,0.5,0.5,43840,0.96,44.6,46.0
167154,Llanto,60,0.597656,0.402344,43840,1.06,64.5,46.0
169063,Ruido,70,0.273438,0.726562,43840,0.96,62.0,62.0
170980,Ruido,70,0.285156,0.714844,43840,1.02,72.8,77.0
172899,Ruido,70,0.183594,0.816406,43840,1.02,72.8,77.0
174805,Llanto,60,0.816406,0.183594,43840,0.91,94.5,93.0
176728,Ruido,60,0.222656,0.777344,43840,1.0,44.9,48.0
178650,Llanto,60,0.957031,0.042969,43840,0.98,44.9,97.0
180550,Ruido,70,0.226562,0.773438,43840,1.06,44.9,0.0
182470,Ruido,70,0.128906,0.871094,43840,1.02,45.1,57.0
184395,Llanto,70,0.796875,0.203125,43840,1.07,44.7,0.0
186296,Llanto,60,0.664062,0.335938,43840,1.0,93.0,106.0
188215,Ruido,60,0.320312,0.679688,43840,0.36,45.5,41.0
190135,Llanto,60,0.535156,0.464844,43840,1.02,45.2,49.0
192040,Ruido,70,0.261719,0.738281,43840,0.7,47.1,48.0
193964,Ruido,70,0.429688,0.570312,43840,1.14,45.0,44.0
195881,Llanto,70,0.519531,0.480469,43840,0.91,45.1,41.0
197784,Ruido,60,0.234375,0.765625,43840,0.98,46.0,46.0
199704,Ruido,60,0.316406,0.683594,43840,0.9,45.1,43.0
201629,Llanto,60,0.636719,0.363281,43840,1.0,44.6,46.0
203530,Llanto,70,0.738281,0.261719,43840,0.9,46.0,44.0
205450,Llanto,70,0.523438,0.476562,43840,0.98,53.5,56.0
207371,Llanto,70,0.5625,0.4375,43840,0.92,69.4,69.0
209277,Llanto,60,0.519531,0.480469,43840,1.01,63.1,67.0
211201,Llanto,60,0.71875,0.28125,43840,0.94,111.5,113.0
213115,Llanto,60,0.65625,0.34375,43840,0.94,111.5,113.0
215020,Llanto,70,0.792969,0.207031,43840,1.05,92.3,25.0
216940,Ruido,70,0.117188,0.882812,43840,1.01,94.9,182.0
218860,Llanto,70,0.839844,0.160156,43840,1.05,92.3,62.0
220770,Llanto,60,0.683594,0.316406,43840,1.02,108.0,231.0
222685,Llanto,60,0.546875,0.453125,43840,1.07,45.0,0.0
224605,Llanto,60,0.957031,0.042969,43840,1.0,94.2,103.0
226511,Llanto,70,0.957031,0.042969,43840,1.07,44.9,21.0
228430,Llanto,70,0.957031,0.042969,43840,0.96,44.7,46.0
230361,Llanto,70,0.957031,0.042969,43840,1.02,44.7,48.0
232255,Llanto,60,0.957031,0.042969,43840,0.98,45.1,56.0
