timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
1176,Llanto,290,0.785156,0.214844,81048,0.98,56.0,54.0
2596,Llanto,300,0.730469,0.269531,81048,0.96,94.3,85.0
4008,Llanto,290,0.574219,0.425781,81048,1.05,45.0,44.0
5436,Llanto,290,0.753906,0.246094,81048,0.43,62.1,62.0
6860,Llanto,290,0.789062,0.210938,81048,0.43,62.1,62.0
8266,Llanto,290,0.796875,0.203125,81048,1.01,45.2,48.0
9692,Llanto,290,0.785156,0.214844,81048,1.05,94.2,66.0
11117,Llanto,290,0.636719,0.363281,81048,1.05,94.2,66.0
12525,Llanto,290,0.921875,0.078125,81048,1.02,45.1,46.0
13951,Llanto,290,0.769531,0.230469,81048,1.0,45.0,48.0
15375,Llanto,300,0.929688,0.070312,81048,0.9,62.1,62.0
16787,Llanto,290,0.746094,0.253906,81048,0.9,62.1,62.0
18212,Llanto,290,0.816406,0.183594,81048,0.98,45.1,48.0
19638,Ruido,300,0.28125,0.71875,81048,0.92,45.0,43.0
21046,Ruido,290,0.4375,0.5625,81048,0.92,45.0,43.0
22479,Ruido,290,0.5,0.5,81048,0.98,44.9,46.0
23899,Ruido,290,0.445312,0.554688,81048,0.92,45.3,41.0
25307,Llanto,290,0.730469,0.269531,81048,0.92,45.3,41.0
26730,Llanto,290,0.605469,0.394531,81048,1.07,92.6,90.0
28157,Llanto,290,0.753906,0.246094,81048,0.85,45.3,43.0
29569,Llanto,290,0.730469,0.269531,81048,1.6,61.8,66.0
30991,Llanto,290,0.8125,0.1875,81048,1.6,61.8,66.0
32415,Ruido,300,0.363281,0.636719,81048,0.84,45.2,38.0
33825,Llanto,290,0.863281,0.136719,81048,1.02,53.7,102.0
35251,Llanto,290,0.816406,0.183594,81048,1.02,53.7,102.0
36675,Llanto,290,0.59375,0.40625,81048,1.05,45.3,46.0
38088,Llanto,290,0.769531,0.230469,81048,1.03,46.6,123.0
39510,Llanto,290,0.644531,0.355469,81048,1.06,62.0,49.0
40941,Llanto,290,0.664062,0.335938,81048,1.06,62.0,49.0
42348,Llanto,290,0.777344,0.222656,81048,0.92,94.1,93.0
43792,Llanto,290,0.746094,0.253906,81048,0.99,46.7,49.0
45196,Llanto,300,0.710938,0.289062,81048,0.99,46.7,49.0
46606,Ruido,300,0.5,0.5,81048,0.9,224.0,113.0
48032,Ruido,290,0.183594,0.816406,81048,0.97,106.5,105.0
49457,Ruido,290,0.214844,0.785156,81048,0.97,106.5,105.0
50866,Llanto,290,0.71875,0.28125,81048,1.04,129.5,116.0
52296,Llanto,290,0.644531,0.355469,81048,1.12,45.3,46.0
53715,Ruido,290,0.324219,0.675781,81048,0.91,62.0,56.0
55127,Llanto,300,0.789062,0.210938,81048,0.91,62.0,56.0
56551,Llanto,290,0.898438,0.101562,81048,1.1,45.2,44.0
57976,Llanto,290,0.585938,0.414062,81048,0.0,45.2,44.0
59390,Llanto,290,0.644531,0.355469,81048,0.0,45.2,44.0
60811,Llanto,290,0.804688,0.195312,81048,1.01,45.2,62.0
62236,Llanto,290,0.605469,0.394531,81048,1.06,45.3,38.0
63645,Llanto,290,0.84375,0.15625,81048,0.96,61.6,62.0
65078,Llanto,290,0.785156,0.214844,81048,0.96,61.6,62.0
66499,Llanto,300,0.804688,0.195312,81048,0.99,45.2,48.0
67908,Llanto,290,0.691406,0.308594,81048,0.9,53.8,46.0
69331,Llanto,290,0.644531,0.355469,81048,0.9,53.8,46.0
70758,Llanto,290,0.65625,0.34375,81048,0.99,45.0,44.0
72166,Llanto,290,0.585938,0.414062,81048,0.92,45.6,44.0
73641,Llanto,290,0.84375,0.15625,81048,0.98,61.7,62.0
75016,Llanto,290,0.675781,0.324219,81048,0.98,61.7,62.0
76427,Llanto,300,0.59375,0.40625,81048,1.0,45.2,41.0
77851,Llanto,290,0.617188,0.382812,81048,1.1,61.8,61.0
79279,Llanto,290,0.746094,0.253906,81048,1.1,61.8,61.0
80689,Llanto,290,0.5625,0.4375,81048,0.34,45.1,46.0
82111,Llanto,290,0.53125,0.46875,81048,1.03,55.7,118.0
83539,Llanto,290,0.644531,0.355469,81048,1.03,55.7,118.0
84946,Llanto,290,0.789062,0.210938,81048,1.05,45.2,46.0
86373,Llanto,290,0.691406,0.308594,81048,0.9,94.9,95.0
87798,Llanto,300,0.703125,0.296875,81048,0.98,62.4,61.0
89207,Ruido,290,0.335938,0.664062,81048,0.98,62.4,61.0
90632,Llanto,290,0.644531,0.355469,81048,0.9,45.3,44.0
92055,Llanto,290,0.585938,0.414062,81048,0.99,45.2,44.0
93466,Llanto,290,0.84375,0.15625,81048,0.99,45.2,44.0
94892,Llanto,290,0.703125,0.296875,81048,0.99,96.3,105.0
96316,Llanto,290,0.65625,0.34375,81048,1.06,45.1,43.0
97766,Llanto,290,0.644531,0.355469,81048,0.52,62.1,61.0
99151,Llanto,290,0.777344,0.222656,81048,0.52,62.1,61.0
100596,Llanto,290,0.691406,0.308594,81048,1.28,45.2,48.0
101990,Llanto,290,0.761719,0.238281,81048,0.0,118.4,121.0
103412,Llanto,290,0.617188,0.382812,81048,0.0,118.4,121.0
104842,Llanto,290,0.804688,0.195312,81048,1.02,45.4,72.0
106247,Ruido,290,0.5,0.5,81048,1.06,45.3,15.0
107673,Llanto,290,0.730469,0.269531,81048,1.06,45.3,15.0
109100,Ruido,300,0.15625,0.84375,81048,1.0,45.1,51.0
110506,Llanto,290,0.859375,0.140625,81048,0.65,45.1,38.0
