timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
1413,Ruido,20,0.3125,0.6875,80920,1.08,45.7,0.0
2838,Llanto,30,0.738281,0.261719,80920,2.49,45.2,48.0
4249,Llanto,30,0.527344,0.472656,80920,0.98,55.5,52.0
5675,Llanto,20,0.542969,0.457031,80920,0.98,55.5,52.0
7109,Llanto,30,0.902344,0.097656,80920,1.0,45.2,46.0
8507,Llanto,30,0.6875,0.3125,80920,0.94,45.0,46.0
9933,Ruido,20,0.492188,0.507812,80920,0.94,45.0,46.0
11358,Llanto,30,0.550781,0.449219,80920,1.01,44.9,48.0
12769,Ruido,30,0.492188,0.507812,80920,0.94,91.9,95.0
14193,Llanto,20,0.527344,0.472656,80920,1.06,45.4,49.0
15619,Llanto,30,0.550781,0.449219,80920,1.06,45.4,49.0
17029,Ruido,30,0.414062,0.585938,80920,1.04,45.4,48.0
18453,Llanto,20,0.945312,0.054688,80920,1.08,53.9,7.0
19882,Llanto,30,0.578125,0.421875,80920,1.08,53.9,7.0
21288,Ruido,30,0.089844,0.910156,80920,2.54,45.2,44.0
22714,Ruido,20,0.230469,0.769531,80920,1.06,45.6,44.0
24139,Ruido,30,0.25,0.75,80920,1.06,45.6,44.0
25549,Llanto,30,0.792969,0.207031,80920,1.02,94.0,95.0
26981,Llanto,20,0.84375,0.15625,80920,0.96,45.1,49.0
28400,Llanto,30,0.679688,0.320312,80920,1.0,44.9,46.0
29820,Llanto,30,0.777344,0.222656,80920,1.0,44.9,46.0
31235,Llanto,20,0.542969,0.457031,80920,0.94,45.1,44.0
32658,Ruido,30,0.390625,0.609375,80920,1.0,45.3,49.0
34068,Ruido,30,0.339844,0.660156,80920,1.0,45.3,49.0
35496,Ruido,20,0.457031,0.542969,80920,0.94,96.2,98.0
36918,Llanto,30,0.800781,0.199219,80920,1.01,45.3,49.0
38334,Llanto,30,0.601562,0.398438,80920,0.98,45.5,46.0
