timestamp,detected_state,inference_time_ms,output_class_0,output_class_1,used_ram,voltage,current_mA,power_W
1116,Llanto,20,0.625,0.375,16828,0.96,44.7,46.0
2531,Llanto,20,0.515625,0.484375,16828,1.0,44.4,48.0
3952,Llanto,20,0.542969,0.457031,16828,1.0,44.4,48.0
5378,Llanto,20,0.601562,0.398438,16828,0.93,44.9,44.0
6787,Llanto,20,0.652344,0.347656,16828,1.01,44.5,46.0
8213,Ruido,20,0.414062,0.585938,16828,1.01,44.5,46.0
9636,Ruido,20,0.003906,0.996094,16828,0.92,112.4,103.0
11045,Llanto,20,0.703125,0.296875,16828,1.0,44.8,46.0
12481,Ruido,20,0.332031,0.667969,16828,0.96,44.9,48.0
13897,Llanto,20,0.617188,0.382812,16828,0.96,44.9,48.0
15307,Llanto,20,0.835938,0.164062,16828,1.0,44.8,46.0
16738,Ruido,20,0.222656,0.777344,16828,0.96,44.6,41.0
18161,Llanto,20,0.925781,0.074219,16828,0.96,44.6,41.0
19567,Llanto,20,0.671875,0.328125,16828,0.98,93.9,93.0
20991,Ruido,20,0.457031,0.542969,16828,1.02,44.5,41.0
22415,Ruido,20,0.347656,0.652344,16828,1.1,44.7,44.0
23829,Ruido,20,0.382812,0.617188,16828,1.1,44.7,44.0
25251,Llanto,20,0.808594,0.191406,16828,0.98,44.6,41.0
26677,Llanto,20,0.507812,0.492188,16828,0.99,53.6,52.0
28087,Llanto,20,0.558594,0.441406,16828,0.99,53.6,52.0
29511,Ruido,20,0.320312,0.679688,16828,1.02,44.6,41.0
30938,Ruido,20,0.429688,0.570312,16828,1.1,44.5,44.0
32345,Llanto,20,0.808594,0.191406,16828,1.1,44.5,44.0
33772,Llanto,20,0.609375,0.390625,16828,0.92,61.2,57.0
35195,Llanto,20,0.515625,0.484375,16828,1.0,54.5,56.0
36606,Ruido,20,0.355469,0.644531,16828,0.94,44.9,43.0
38032,Llanto,20,0.746094,0.253906,16828,0.94,44.9,43.0
39461,Ruido,20,0.339844,0.660156,16828,0.99,44.5,44.0
40866,Llanto,20,0.679688,0.320312,16828,0.96,44.6,41.0
42294,Llanto,20,0.679688,0.320312,16828,0.96,44.6,41.0
43715,Ruido,20,0.441406,0.558594,16828,1.0,93.1,92.0
45127,Llanto,20,0.625,0.375,16828,0.98,44.8,41.0
46550,Llanto,20,0.84375,0.15625,16828,1.82,44.6,43.0
47994,Llanto,20,0.507812,0.492188,16828,1.82,44.6,43.0
49385,Llanto,20,0.527344,0.472656,16828,0.09,53.2,56.0
50812,Llanto,20,0.738281,0.261719,16828,2.48,44.6,44.0
52236,Llanto,20,0.820312,0.179688,16828,2.48,44.6,44.0
53646,Llanto,20,0.996094,0.003906,16828,0.24,45.0,46.0
